source_id,relpath,filename,extension,size_bytes,sha256,pages,text_chars,image_only_likely,review_method,reviewed_for_design,copyright_restriction,production_ready,clinical_claim_revalidation,human_runtime_default,source_group,domain,trust_tier,runtime_policy,allowed_uses,prohibited_uses,notes
SRC-001,약사 자료(외부로만 가지고나가지말기 __ㅇ)/2026 근무약사 가이드북 복사본.pdf,2026 근무약사 가이드북 복사본.pdf,pdf,39514298,371d1f4519cfe004cbe9f33ac327a7c710f41a6621404da44f720f85cad6e102,37,45665,false,text_extraction_plus_visual_sampling,true,true,false,not_applicable,disabled_until_verified,pharmacy_operations,operations,X,admin_only,운영·인사·행정 기능을 별도 관리자 모듈에서 참고,"임상 상담 근거, 환자별 치료·약물 판단",임상 상담 코어와 완전히 분리한다.
SRC-002,약사 자료(외부로만 가지고나가지말기 __ㅇ)/OTC 상담시나리오 나눔.pdf,OTC 상담시나리오 나눔.pdf,pdf,870685,340d633f91edac573694763515d986ab41f429bb460c4a4157cff2b46ec9737a,35,8394,false,text_extraction_plus_visual_sampling,true,true,false,required,disabled_until_verified,otc_sales_scenarios,human_otc,D,quarantine,질문 순서·대화 패턴 후보를 약사 검토 후 재작성,"공격적 복합판매·업셀링, 임상 사실, 그대로의 멘트 재배포",판매 유도 표현이 임상 안전보다 앞서는 부분이 있어 직접 사용 금지.
SRC-003,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[박약다식]새내기 약사님들을 위한 OTC 초간단 정리본 240219.pdf,[박약다식]새내기 약사님들을 위한 OTC 초간단 정리본 240219.pdf,pdf,9119849,43b429424c056911a3c31d63d7b76933e770cea72b463a3a619d40c43feaa6da,28,702,true,all_pages_visual_review_image_only_pdf,true,true,false,required,disabled_until_verified,otc_quick_reference,human_otc,C,candidate_only,"OTC 카테고리 구조, 현장 질문, 상담 흐름 후보",검증 전 용량·연령·임부·금기·상호작용을 운영 답변으로 사용,실무 구조 가치는 높으나 현재 허가사항·공식 기준과 항목별 대조 필요.
SRC-004,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회]팜뉴트리션/카르니틴 정리(팜뉴트리션).pdf,카르니틴 정리(팜뉴트리션).pdf,pdf,771055,b9b893b0335c71f1ad3bc3da4307c401a24208be37d86c777714d3f1308ee01d,4,9877,false,text_extraction_plus_visual_sampling,true,true,false,required,disabled_until_verified,nutrition_education,supplement,C,candidate_only_separate_mode,영양성분 설명 후보와 질문 항목,"질환 치료 표현, 과장 효능, 검증 전 복용량·상호작용","건기식 모드에서만, 공식 기준과 근거 검토 후 사용."
SRC-005,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회]팜뉴트리션/칼슘정리(팜뉴트리션).pdf,칼슘정리(팜뉴트리션).pdf,pdf,707807,53144702226d3c9f9f6329c36807aa0ef3955ee93fe77dbaacaf9e9db95c7f57,16,17277,false,text_extraction_plus_visual_sampling,true,true,false,required,disabled_until_verified,nutrition_education,supplement,C,candidate_only_separate_mode,영양성분 설명 후보와 질문 항목,"질환 치료 표현, 과장 효능, 검증 전 복용량·상호작용","건기식 모드에서만, 공식 기준과 근거 검토 후 사용."
SRC-006,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회]팜뉴트리션/피크노제놀 정리(팜뉴트리션).pdf,피크노제놀 정리(팜뉴트리션).pdf,pdf,105124,2ea6229b1a8053a0a36776de55fb2be040f3ce484641f8b759319a87b96e183e,4,4464,false,text_extraction_plus_visual_sampling,true,true,false,required,disabled_until_verified,nutrition_education,supplement,C,candidate_only_separate_mode,영양성분 설명 후보와 질문 항목,"질환 치료 표현, 과장 효능, 검증 전 복용량·상호작용","건기식 모드에서만, 공식 기준과 근거 검토 후 사용."
SRC-007,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]NQNA/2025 NQNA 14주차_생김새 속 건강신호 2.pdf,2025 NQNA 14주차_생김새 속 건강신호 2.pdf,pdf,6086856,7f27ab64bc074a3dd3f125e9762f3c5c04e0d3a4fbff57f45781ea04a640353b,12,15448,false,text_extraction_plus_visual_sampling,true,true,false,required,disabled_until_verified,nqna_health_signs,supplement_nonstandard,X,excluded,연구·감사 목적으로 출처 존재만 기록,"외형·체질을 근거로 질환 또는 영양 결핍을 추정, 제품 추천",생김새·체질 기반 추론은 임상 런타임에서 차단.
SRC-008,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]NQNA/2025 NQNA 14주차_생김새 속 건강신호1.pdf,2025 NQNA 14주차_생김새 속 건강신호1.pdf,pdf,6720226,770ed78303815b93b767e981e7e896f60d06723b3fe17b799c15b213ccf0262a,13,16134,false,text_extraction_plus_visual_sampling,true,true,false,required,disabled_until_verified,nqna_health_signs,supplement_nonstandard,X,excluded,연구·감사 목적으로 출처 존재만 기록,"외형·체질을 근거로 질환 또는 영양 결핍을 추정, 제품 추천",생김새·체질 기반 추론은 임상 런타임에서 차단.
SRC-009,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]NQNA/2025 NQNA 1주~6주차 통합본.pdf,2025 NQNA 1주~6주차 통합본.pdf,pdf,2629394,36a911e509e73b8bd743d188dac8b352421ca0fc2e5a9fd5ec2c71248fe8ce09,44,40556,false,text_extraction_plus_visual_sampling,true,true,false,required,disabled_until_verified,nqna_health_signs,supplement_nonstandard,X,excluded,연구·감사 목적으로 출처 존재만 기록,"외형·체질을 근거로 질환 또는 영양 결핍을 추정, 제품 추천",생김새·체질 기반 추론은 임상 런타임에서 차단.
SRC-010,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]NQNA/2025 NQNA 7주~11주차 통합본.pdf,2025 NQNA 7주~11주차 통합본.pdf,pdf,10354713,67c225575850a434d5b01a97e4de9e332cb41b42daa02563b9723441fd92858c,56,50904,false,text_extraction_plus_visual_sampling,true,true,false,required,disabled_until_verified,nqna_health_signs,supplement_nonstandard,X,excluded,연구·감사 목적으로 출처 존재만 기록,"외형·체질을 근거로 질환 또는 영양 결핍을 추정, 제품 추천",생김새·체질 기반 추론은 임상 런타임에서 차단.
SRC-011,약사 자료(외부로만 가지고나가지말기 __ㅇ)/[학회약]NQNA/2025 NQNA 학술자료 12주차_나눔.pdf,2025 NQNA 학술자료 12주차_나눔.pdf,pdf,801610,0422bad5cba48a9018bc32aba3d086edbf76572728195a96619ba7ffe7271f98,14,14641,false,text_extraction_plus_visual_sampling,true,true,false,required,disabled_until_verified,nqna_health_signs,supplement_nonstandard,X,excluded,연구·감사 목적으로 출처 존재만 기록,"외형·체질을 근거로 질환 또는 영양 결핍을 추정, 제품 추천",생김새·체질 기반 추론은 임상 런타임에서 차단.
